iter	Passed	Remaining
447	1122	1382
448	1124	1380
449	1126	1377
450	1128	1374
451	1130	1371
452	1132	1367
453	1135	1366
454	1138	1363
455	1140	1360
456	1142	1356
457	1143	1353
458	1147	1352
459	1149	1349
460	1151	1345
461	1152	1342
462	1154	1338
463	1155	1335
464	1157	1332
465	1160	1330
466	1162	1327
467	1165	1324
468	1166	1320
469	1168	1317
470	1170	1314
471	1173	1312
472	1176	1310
473	1181	1311
474	1183	1308
475	1186	1306
476	1190	1305
477	1197	1307
478	1199	1304
479	1201	1301
480	1203	1298
481	1207	1297
482	1209	1294
483	1210	1291
484	1212	1287
485	1214	1284
486	1216	1281
487	1219	1279
488	1222	1277
489	1242	1292
490	1245	1291
491	1247	1288
492	1248	1284
493	1250	1281
494	1253	1278
495	1257	1277
496	1258	1274
497	1260	1270
498	1262	1267
499	1265	1265
500	1267	1261
501	1270	1260
502	1271	1256
503	1273	1253
504	1276	1250
505	1278	1248
506	1281	1246
507	1283	1243
508	1285	1239
509	1286	1236
510	1292	1236
511	1294	1234
512	1297	1231
513	1299	1228
514	1300	1225
515	1305	1224
516	1307	1221
517	1309	1218
518	1310	1214
519	1312	1211
520	1313	1208
521	1317	1206
522	1319	1203
523	1321	1200
524	1323	1197
525	1325	1194
526	1326	1190
527	1329	1188
528	1333	1187
529	1335	1184
530	1337	1180
531	1338	1177
532	1340	1174
533	1344	1172
534	1345	1169
535	1347	1166
536	1349	1163
537	1351	1160
538	1355	1159
539	1357	1156
540	1359	1153
541	1360	1149
542	1362	1146
543	1364	1143
544	1367	1141
545	1369	1138
546	1371	1135
547	1373	1132
548	1374	1129
549	1376	1125
550	1379	1123
551	1381	1121
552	1384	1118
553	1385	1115
554	1387	1112
555	1388	1108
556	1393	1108
557	1395	1105
558	1396	1101
559	1398	1098
560	1399	1095
561	1403	1093
562	1405	1090
563	1407	1088
564	1409	1084
565	1410	1081
566	1412	1078
567	1414	1075
568	1416	1073
569	1419	1071
570	1421	1068
571	1423	1064
572	1425	1062
573	1427	1059
574	1430	1057
575	1432	1054
576	1433	1051
577	1435	1048
578	1438	1046
579	1442	1044
580	1444	1041
581	1446	1038
582	1447	1035
583	1450	1033
584	1453	1031
585	1456	1028
586	1458	1025
587	1461	1023
588	1462	1020
589	1467	1020
590	1470	1017
591	1473	1015
592	1475	1012
593	1477	1009
594	1480	1007
595	1482	1005
596	1485	1002
597	1487	999
598	1489	997
599	1492	994
600	1495	992
601	1497	990
602	1499	987
603	1502	984
604	1507	984
605	1509	981
606	1511	978
607	1513	975
608	1516	973
609	1518	971
610	1521	968
611	1522	965
612	1524	962
613	1525	959
614	1527	956
615	1530	954
616	1532	951
617	1534	948
618	1535	945
619	1537	942
620	1540	940
621	1543	938
622	1545	935
623	1546	932
624	1548	929
625	1550	926
626	1555	925
627	1557	922
628	1561	920
629	1562	917
630	1566	915
631	1568	913
632	1571	911
633	1573	908
634	1575	905
635	1579	904
636	1591	907
637	1594	904
638	1596	901
639	1598	899
640	1599	895
641	1600	892
642	1601	889
643	1603	886
644	1604	883
645	1608	881
646	1610	878
647	1611	875
648	1612	872
649	1614	869
650	1615	866
651	1617	863
652	1620	860
653	1622	858
654	1624	855
655	1625	852
656	1627	849
657	1628	846
658	1635	846
659	1637	843
660	1639	840
661	1641	837
662	1643	835
663	1646	832
664	1649	830
665	1651	828
666	1652	825
667	1654	822
668	1656	819
669	1659	817
670	1661	814
671	1663	811
672	1664	808
673	1666	806
674	1668	803
675	1671	801
676	1673	798
677	1675	795
678	1676	792
679	1678	789
680	1682	788
681	1685	785
682	1686	782
683	1688	779
684	1689	777
685	1691	774
686	1692	771
687	1697	769
688	1700	767
689	1702	764
690	1704	762
691	1706	759
692	1710	757
693	1727	761
694	1729	758
695	1731	756
696	1732	753
697	1734	750
698	1738	748
699	1740	746
700	1742	743
701	1743	740
702	1745	737
703	1747	734
704	1750	732
705	1751	729
706	1753	726
707	1755	723
708	1756	720
709	1757	718
710	1759	715
711	1761	712
712	1763	710
713	1765	707
714	1766	704
715	1768	701
716	1769	698
717	1771	695
718	1772	692
719	1774	690
720	1777	688
721	1779	685
722	1780	682
723	1782	679
724	1784	676
725	1786	674
726	1788	671
727	1789	668
728	1791	666
729	1792	663
730	1794	660
731	1796	657
732	1797	654
733	1800	652
734	1802	649
735	1803	647
736	1805	644
737	1806	641
738	1808	638
739	1809	635
740	1812	633
741	1814	630
742	1815	628
743	1816	625
744	1818	622
745	1820	619
746	1821	616
747	1825	614
748	1826	612
749	1828	609
750	1829	606
751	1831	604
752	1834	601
753	1837	599
754	1839	596
755	1840	594
756	1842	591
757	1843	588
758	1845	585
759	1848	583
760	1850	581
761	1851	578
762	1853	575
763	1855	573
764	1860	571
765	1864	569
766	1865	566
767	1867	564
768	1869	561
769	1873	559
770	1877	557
771	1878	554
772	1880	552
773	1881	549
774	1883	546
775	1884	544
776	1887	541
777	1888	539
778	1890	536
779	1891	533
780	1893	530
781	1894	528
782	1895	525
783	1899	523
784	1902	520
785	1903	518
786	1905	515
787	1906	513
788	1908	510
789	1911	508
790	1913	505
791	1915	503
792	1917	500
793	1918	497
794	1920	495
795	1939	496
796	1941	494
797	1943	491
798	1944	489
799	1945	486
800	1947	483
801	1948	481
802	1951	478
803	1952	476
804	1955	473
805	1956	470
806	1957	468
807	1959	465
808	1960	462
809	1964	460
810	1967	458
811	1969	455
812	1970	453
813	1972	450
814	1974	448
815	1978	446
816	1988	445
817	1991	443
818	1994	440
819	1996	438
820	1997	435
821	1999	433
822	2001	430
823	2004	428
824	2007	425
825	2008	423
826	2011	420
827	2013	418
828	2017	416
829	2019	413
830	2021	411
831	2023	408
832	2025	406
833	2029	403
834	2032	401
835	2034	399
836	2036	396
837	2037	393
838	2039	391
839	2042	389
840	2045	386
841	2046	384
842	2048	381
843	2050	378
844	2051	376
845	2054	373
846	2057	371
847	2058	369
848	2060	366
849	2062	364
850	2067	362
851	2070	359
852	2072	357
853	2073	354
854	2075	351
855	2076	349
856	2078	346
857	2082	344
858	2084	342
859	2085	339
860	2087	336
861	2089	334
862	2094	332
863	2096	330
864	2098	327
865	2099	324
866	2101	322
867	2102	319
868	2106	317
869	2108	315
870	2110	312
871	2111	309
872	2112	307
873	2114	304
874	2117	302
875	2120	300
876	2122	297
877	2124	295
878	2125	292
879	2127	290
880	2130	287
881	2132	285
882	2134	282
883	2136	280
884	2137	277
885	2139	275
886	2141	272
887	2145	270
888	2147	268
889	2148	265
890	2150	263
891	2152	260
892	2153	258
893	2157	255
894	2159	253
895	2160	250
896	2162	248
897	2164	245
898	2165	243
899	2169	241
900	2172	238
901	2173	236
902	2176	233
903	2178	231
904	2180	228
905	2182	226
906	2184	224
907	2186	221
908	2189	219
909	2192	216
910	2195	214
911	2198	212
912	2199	209
913	2202	207
914	2207	205
915	2210	202
916	2211	200
917	2213	197
918	2215	195
919	2216	192
920	2219	190
921	2222	188
922	2224	185
923	2225	183
924	2227	180
925	2229	178
926	2232	175
927	2234	173
928	2236	170
929	2238	168
930	2239	166
931	2241	163
932	2245	161
933	2248	158
934	2250	156
935	2251	153
936	2253	151
937	2257	149
938	2259	146
939	2261	144
940	2262	141
941	2264	139
942	2266	136
943	2269	134
944	2270	132
945	2272	129
946	2275	127
947	2277	124
948	2282	122
949	2284	120
950	2286	117
951	2287	115
952	2289	112
953	2291	110
954	2294	108
955	2297	105
956	2298	103
957	2300	100
958	2301	98
959	2303	95
960	2306	93
961	2308	91
962	2310	88
963	2311	86
964	2313	83
965	2316	81
966	2321	79
967	2323	76
968	2325	74
969	2327	71
970	2331	69
971	2335	67
972	2338	64
973	2339	62
974	2341	60
975	2343	57
976	2346	55
977	2348	52
978	2350	50
979	2351	47
980	2353	45
981	2356	43
982	2359	40
983	2360	38
984	2362	35
985	2363	33
986	2365	31
987	2368	28
988	2370	26
989	2372	23
990	2374	21
991	2376	19
992	2381	16
993	2385	14
994	2386	11
995	2388	9
996	2390	7
997	2391	4
998	2395	2
999	2397	0
